"ID","I_E","studygroup","N_rel","degree","participate_small","participate_big","n_inside_studygroups","n_outside_studygroups","nrel_new"
1,7,1,0,6,0,3,0,0,3
2,4,2,0,2,0,3,0,0,1
3,2,3,0,2,0,2,0,0,1
4,9,4,0,5,0,4,0,0,2
5,3,5,0,2,0,0,0,0,1
6,5,6,0,0,0,3,0,0,0
7,3,7,0,0,0,2,0,0,0
8,2,8,0,2,0,2,0,1,1
9,8,9,0,5,0,3,0,0,2
10,7,10,0,6,0,3,0,0,3
11,5,11,0,2,0,2,0,0,1
12,6,12,0,2,0,3,0,0,1
13,4,1,0,3,0,4,0,0,1
14,7,2,1,6,0,3,0,0,3
15,4,3,0,0,0,1,0,0,0
16,2,4,1,5,0,0,0,1,3
17,3,5,0,0,0,3,0,0,0
18,7,6,0,0,0,4,0,0,0
19,1,7,0,1,0,1,0,0,1
20,3,8,0,0,0,1,0,0,0
21,3,9,1,4,0,3,0,1,2
22,4,10,0,5,0,3,0,0,2
23,7,11,0,4,0,3,0,0,2
24,3,12,0,2,0,3,0,0,1
25,4,1,0,2,0,2,0,0,1
26,7,2,0,7,0,2,0,0,3
27,1,3,0,0,0,1,0,0,0
28,4,4,1,4,0,2,0,1,2
29,2,5,0,2,0,0,0,0,1
30,9,6,0,2,0,2,0,0,1
31,7,7,0,0,0,2,0,0,0
32,6,8,0,2,0,3,0,0,1
33,2,9,0,5,0,0,0,0,3
34,3,10,0,4,0,1,0,0,2
35,4,11,0,6,0,2,0,0,3
36,7,12,0,4,0,2,0,0,2
37,4,1,0,2,0,1,0,0,1
38,2,2,0,5,0,0,0,0,3
39,3,3,0,2,0,1,0,0,1
40,3,4,0,2,0,1,0,0,1
41,3,5,0,0,0,2,0,0,0
42,4,6,0,0,0,2,0,0,0
43,2,7,0,1,0,3,0,0,1
44,3,8,0,2,0,2,0,1,1
45,9,9,1,8,0,3,0,1,3
46,2,10,0,1,0,3,0,0,1
47,6,11,0,2,0,2,0,0,1
48,7,12,0,8,0,3,0,0,4
49,2,1,0,1,0,2,0,0,1
50,4,2,0,2,0,2,0,1,1
51,7,3,0,0,0,3,0,0,0
52,6,4,0,2,0,3,0,0,1
53,2,5,0,0,0,1,0,0,0
54,1,6,0,0,0,2,0,0,0
55,8,7,0,2,0,3,0,0,0
56,7,8,2,6,0,3,0,0,3
57,3,9,0,6,0,1,0,0,4
58,9,10,0,2,0,3,0,0,1
59,4,11,0,2,0,2,0,0,1
60,5,12,0,2,0,1,0,0,1
