"ID","I_E","studygroup","N_rel","degree","participate_small","participate_big","n_inside_studygroups","n_outside_studygroups","nrel_new"
1,7,1,0,0,3,0,0,0,0
2,4,2,0,4,4,0,0,0,2
3,2,3,1,2,3,0,0,0,1
4,9,4,1,6,4,0,0,1,3
5,3,5,0,4,4,0,0,0,2
6,5,6,0,4,4,0,0,0,2
7,3,7,0,5,3,0,0,0,2
8,2,8,0,8,4,0,0,0,4
9,8,9,1,6,3,0,0,0,3
10,7,10,0,4,3,0,0,0,2
11,5,11,0,0,4,0,0,0,0
12,6,12,0,2,5,0,0,0,1
13,4,1,0,4,3,0,0,0,2
14,7,2,0,4,4,0,0,0,2
15,4,3,0,2,4,0,0,0,1
16,2,4,0,5,2,0,0,0,3
17,3,5,0,2,3,0,0,0,1
18,7,6,0,0,4,0,0,0,0
19,1,7,1,4,6,0,0,0,2
20,3,8,0,3,4,0,0,0,2
21,3,9,0,2,4,0,0,1,1
22,4,10,0,2,2,0,0,0,1
23,7,11,0,3,5,0,0,0,1
24,3,12,0,0,4,0,0,0,0
25,4,1,0,6,5,0,0,0,3
26,7,2,1,6,3,0,0,1,3
27,1,3,0,0,2,0,0,0,0
28,4,4,1,6,4,0,0,1,3
29,2,5,0,8,3,0,0,0,4
30,9,6,0,0,3,0,0,0,0
31,7,7,0,0,2,0,0,0,0
32,6,8,0,3,2,0,0,0,1
33,2,9,0,3,5,0,0,1,2
34,3,10,0,8,5,0,0,0,4
35,4,11,0,4,4,0,0,0,2
36,7,12,0,2,4,0,0,0,1
37,4,1,0,2,3,0,0,0,1
38,2,2,1,6,3,0,0,1,3
39,3,3,0,2,4,0,0,0,1
40,3,4,0,0,5,0,0,0,0
41,3,5,0,0,4,0,0,0,0
42,4,6,1,2,3,0,0,0,1
43,2,7,0,5,3,0,0,0,3
44,3,8,0,2,4,0,0,0,1
45,9,9,2,7,4,0,0,1,3
46,2,10,1,3,5,0,0,0,2
47,6,11,0,1,3,0,0,0,0
48,7,12,0,3,5,0,0,0,1
49,2,1,0,2,2,0,0,0,1
50,4,2,0,8,4,0,0,0,4
51,7,3,1,4,5,0,0,1,2
52,6,4,0,5,4,0,0,0,2
53,2,5,0,2,2,0,0,0,1
54,1,6,0,0,3,0,0,0,0
55,8,7,0,4,3,0,0,0,2
56,7,8,0,2,3,0,0,0,1
57,3,9,2,6,5,0,0,2,3
58,9,10,1,7,3,0,0,0,3
59,4,11,0,2,5,0,0,0,2
60,5,12,0,3,2,0,0,0,2
